         MJD         m       dm   uJy  duJy F  err   chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask   __tmp_SN c1_mean c1_mean_err c1_stdev c1_stdev_err c1_X2norm c1_Nvalid c1_Nnan c2_mean c2_mean_err c2_stdev c2_stdev_err c2_X2norm c2_Ngood c2_Nclip c2_Nmask c2_Nnan
58312.507710 20.321591      NaN   -34     9 c    0    1.57 299.61892 62.13773  1842.36  9627.90 2.67 2.44  23.2 -0.456    19.68 21.60 02a58312o0565c 0x002030  -3.777778  585.80        3.53   842.82       225.25   8973.94         7       0  -11.67        4.37     9.49         3.00      1.03        5        0        2       0
58344.417990 15.305227 0.003961  2741    10 c    0 3487.22 299.61892 62.13773   740.34  8495.76 2.38 2.23  -1.7 -0.443    19.78 21.71 02a58344o0399c 0x100031 274.100000  606.57        3.86   926.01       247.49   9535.41         7       0   -5.40        4.72    12.46         3.94      1.30        5        0        2       0
58344.435683 16.454549 0.009133   951     8 c    0  668.73 299.61892 62.13773   716.09  8455.48 2.36 2.23  -1.3 -0.444    19.78 21.76 02a58344o0437c 0x500331 118.875000  132.49        3.81   384.62       102.80   1475.92         7       0  -14.83        4.52    16.43         5.19      2.71        5        0        2       0
58344.436620 18.208845 0.068936   189    12 c    0   12.76 299.61892 62.13773  9865.09  8436.70 2.61 2.36  48.0 -0.439    19.78 21.75 02a58344o0439c 0x100031  15.750000  220.02        3.94   543.22       145.18   2461.16         7       0    7.06        4.77    10.33         3.27      0.93        5        0        2       0
58344.437992 17.141772 0.019350   505     9 c    0  206.73 299.61892 62.13773   770.05  8528.68 2.43 2.28   6.4 -0.449    19.75 21.76 02a58344o0442c 0x180011  56.111111   -3.13        3.75    17.33         4.63      2.69         7       0   -7.48        3.99    11.13         3.21      1.17        6        1        0       0
58344.452610 16.521656 0.012145   894    10 c    0  404.08 299.61892 62.13773   787.54  8408.71 2.40 2.27   9.6 -0.448    19.73 21.68 02a58344o0473c 0x180031  89.400000  113.87        3.71   348.56        93.16   1039.46         7       0    0.72        4.28     4.87         1.54      0.22        5        1        1       0
58344.454452 20.207197      NaN   -19    10 c    0    8.72 299.61892 62.13773  9840.49  8395.87 2.68 2.39  41.9 -0.434    19.75 21.65 02a58344o0477c 0x002030  -1.900000  485.48        3.66   804.77       215.08   7589.90         7       0   -4.40        4.47    14.60         4.62      2.13        5        0        2       0
58344.457668 15.818780 0.006992  1708    11 c    0  953.76 299.61892 62.13773  9895.73  8479.72 2.71 2.43  40.6 -0.444    19.72 21.63 02a58344o0484c 0x100031 155.272727  211.38        4.16   462.04       123.49   2056.65         7       0   -0.48        4.58    13.68         3.95      1.53        6        0        1       0
58344.471762 16.005603 0.007550  1438    10 c    0  856.48 299.61892 62.13773  9909.68  8364.77 2.73 2.45  42.7 -0.438    19.65 21.58 02a58344o0514c 0x100031 143.800000  338.31        3.92   618.83       165.39   3737.82         7       0   -6.39        4.70     7.65         2.42      0.52        5        0        2       0
58376.361911 20.009244      NaN     0    12 c    0    3.89 299.61892 62.13773  2289.15  7908.19 2.56 2.42 -40.0 -0.391    19.72 21.66 02a58376o0318c 0x080030   0.000000  418.44        3.94   662.23       176.99   4210.50         7       0  -10.87        5.58    13.53         4.78      1.52        4        1        2       0
58376.379589 17.990970 0.061102   231    13 c    0   19.75 299.61892 62.13773  2268.70  7865.54 2.54 2.43 -18.8 -0.401    19.52 21.42 02a58376o0356c 0x100031  17.769231  261.73        4.64   655.05       175.07   2961.63         7       0    2.99        5.03    12.30         3.55      1.00        6        0        1       0
58376.382333 19.766969      NaN     9    12 c    0    6.09 299.61892 62.13773  2322.56  7940.20 2.61 2.50 -16.8 -0.412    19.50 21.36 02a58376o0362c 0x000030   0.750000  132.45        4.63   276.27        73.84    604.19         7       0    3.31        5.10    10.48         3.03      0.72        6        0        1       0
58376.395392 19.696897      NaN     6    14 c    0    3.42 299.61892 62.13773  2339.67  7821.23 2.64 2.51  -6.7 -0.398    19.40 21.26 02a58376o0390c 0x080010   0.428571   12.37        4.84    28.35         7.58      4.93         7       0    3.51        5.29    20.43         5.90      2.47        6        1        0       0
