         MJD         m       dm   uJy  duJy F  err    chi/N        RA      Dec        x        y   maj  min   phi  apfit  mag5sig   Sky            Obs     Mask   __tmp_SN  c1_mean c1_mean_err c1_stdev c1_stdev_err c1_X2norm c1_Nvalid c1_Nnan  c2_mean c2_mean_err c2_stdev c2_stdev_err c2_X2norm c2_Ngood c2_Nclip c2_Nmask c2_Nnan
57939.511266 19.791368      NaN     5    13 o    0     1.30 299.61892 62.13773  7145.85  5771.60  2.08 1.89  46.5 -0.516    19.29 20.08 02a57939o0298o 0x000000   0.384615    17.40        5.81    10.95         2.93      0.47         7       0    17.40        5.81    10.95         2.93      0.47        7        0        0       0
57939.512241 19.197966      NaN    28    16 o    0     0.85 299.61892 62.13773  7126.51  5732.10  2.12 1.92  53.4 -0.517    19.31 20.08 02a57939o0300o 0x400210   1.750000    12.30        6.38    29.62         7.92      3.28         7       0    21.43        7.06    25.10         7.24      2.09        6        1        0       0
57939.530981 19.791368      NaN     2    14 o    0     0.88 299.61892 62.13773  7182.22  5812.95  2.11 1.94  46.3 -0.510    19.37 20.21 02a57939o0338o 0x000000   0.142857     2.86        5.88    10.03         2.68      0.42         7       0     2.86        5.88    10.03         2.68      0.42        7        0        0       0
57939.533286 19.183773      NaN    26    17 o    0     1.24 299.61892 62.13773  7199.87  5699.31  2.07 1.87  46.1 -0.524    19.39 20.24 02a57939o0342o 0x000000   1.529412    -0.20        6.11    16.39         4.38      1.05         7       0    -0.20        6.11    16.39         4.38      1.05        7        0        0       0
57941.489441 18.889197      NaN    38    21 o    0     1.17 299.61892 62.13773  2915.75  4447.73  3.11 2.94  74.5 -0.453    18.81 19.80 01a57941o0492o 0x400210   1.809524    19.72        7.52    35.69         9.54      3.71         7       0    32.78        8.28    24.62         7.11      1.60        6        1        0       0
57941.498953 19.631075      NaN   -20    17 o    0     1.54 299.61892 62.13773  2929.63  4523.04  2.97 2.82  64.5 -0.465    18.89 19.81 01a57941o0511o 0x002010  -1.176471    17.53        7.34    32.72         8.75      2.97         7       0     8.95        8.14    30.15         8.70      2.36        6        0        1       0
57941.515733 19.287255      NaN    16    18 o    0     2.22 299.61892 62.13773  2875.33  4509.61  3.15 3.01  54.1 -0.448    18.85 19.81 01a57941o0545o 0x400110   0.888889    15.44        7.32    34.46         9.21      3.21         7       0     6.07        8.84    36.38        11.51      3.50        5        0        2       0
57941.517700 19.102305      NaN    32    17 o    0     2.46 299.61892 62.13773  2850.75  4634.57  3.20 3.04  48.3 -0.448    18.82 19.81 01a57941o0549o 0x400220   1.882353    26.23        7.73    11.87         3.17      0.36         7       0    26.23        7.73    11.87         3.17      0.36        7        0        0       0
57943.447851 17.185646      NaN   110   125 o    0     0.93 299.61892 62.13773  5309.13  6155.37  2.20 1.93  39.8 -0.540    17.24 17.56 02a57943o0420o 0x100002   0.880000    40.88       44.91    97.11        25.95      0.65         7       0    64.60       70.75   144.91        59.16      1.40        3        0        4       0
57943.458124 18.711133      NaN    35    28 o    0     1.05 299.61892 62.13773  5153.73  4242.69  2.08 1.83  49.7 -0.521    18.66 19.08 02a57943o0440o 0x002000   1.250000    13.89        9.90    20.64         5.52      0.60         7       0    14.90       10.87    22.42         6.47      0.71        6        0        1       0
57943.477549 16.798167      NaN  -322   231 o    0     1.61 299.61892 62.13773  5271.60  6113.06  2.21 2.02  30.9 -0.501    16.31 16.57 02a57943o0477o 0x100002  -1.393939    53.93       85.38   312.69        83.57      1.92         7       0   105.79      153.72   623.67       311.83      7.69        2        0        5       0
57943.481583 16.031582      NaN  -364   468 o    0     0.94 299.61892 62.13773  5225.15  4205.33  2.97 2.29  56.7 -0.446    15.70 15.97 02a57943o0485o 0x100002  -0.777778  -357.82      154.70   404.50       108.11      0.92         7       0   -42.00      403.00      NaN          NaN       NaN        1        0        6       0
57945.505627 19.002397      NaN    22    23 o    0     1.76 299.61892 62.13773  2230.08  7493.71  3.26 3.16  -2.6 -0.426    18.82 19.90 01a57945o0440o 0x080020   0.956522    30.99        8.94    31.94         8.54      2.18         7       0    13.31       10.83    21.37         6.76      0.84        5        1        1       0
57945.515552 19.256669      NaN   -19    24 o    0     2.40 299.61892 62.13773  2253.50  7574.75  3.13 3.08  69.7 -0.435    18.85 19.88 01a57945o0460o 0x000000  -0.791667    18.68        9.19    32.87         8.78      1.86         7       0    22.22       10.02    35.06        10.12      2.08        6        0        1       0
57945.517028 19.510313      NaN   -22    19 o    0     2.44 299.61892 62.13773  2198.83  7500.56  3.18 3.04 -75.9 -0.434    18.83 19.88 01a57945o0463o 0x000000  -1.157895     3.18        8.19    21.27         5.68      0.92         7       0     5.62        8.83    22.02         6.36      1.00        6        0        1       0
57945.534449 19.212347      NaN     0    25 o    0     3.13 299.61892 62.13773  2182.29  7683.71  3.00 2.95 -81.3 -0.447    18.89 19.86 01a57945o0498o 0x000000   0.000000     1.54        8.72    31.31         8.37      1.82         7       0    -2.09        9.49    32.76         9.46      2.00        6        0        1       0
57949.483847 18.720295 0.193224   118    21 o    0     2.94 299.61892 62.13773  4349.80  6289.56  3.27 2.74 -88.9 -0.451    19.00 20.23 01a57949o0485o 0x400130   5.619048   852.31        6.94  1147.22       306.61   4334.63         7       0     0.28        9.70    41.69        14.74      4.33        4        0        3       0
57949.495211 19.302877      NaN    15    18 o    0     1.49 299.61892 62.13773  4364.19  6373.05  3.51 2.92  89.2 -0.429    18.91 20.16 01a57949o0505o 0x400220   0.833333    24.87        7.27     6.64         1.78      0.12         7       0    24.87        7.27     6.64         1.78      0.12        7        0        0       0
57949.512790 19.287255      NaN    13    19 o    0     4.59 299.61892 62.13773  4310.72  6363.31  3.46 2.93  89.2 -0.438    18.91 20.13 01a57949o0541o 0x002000   0.684211     3.71        7.54    11.84         3.16      0.33         7       0     3.71        7.54    11.84         3.16      0.33        7        0        0       0
57949.516187 15.503260 0.008081  2284    17 o    0   488.52 299.61892 62.13773  4297.09  6493.51  3.43 2.83  88.2 -0.438    18.92 20.12 01a57949o0548o 0x500931 134.352941   433.73        7.01   811.75       216.95   2214.71         7       0   -16.59       10.51    49.17        20.07      6.97        3        0        4       0
57953.466075 15.739136 0.008270  1838    14 o    0   486.72 299.61892 62.13773  5115.82  6565.36  3.61 2.84 -88.4 -0.423    19.19 20.92 01a57953o0442o 0xd00831 131.285714  1044.04        5.03   873.53       233.46   4000.94         7       0     2.63        9.53     7.07         3.54      0.27        2        1        4       0
57953.475350 15.432861 0.006237  2437    14 o    0   866.93 299.61892 62.13773  5141.91  6639.18  3.59 2.83 -87.6 -0.431    19.22 20.92 01a57953o0461o 0xd00931 174.071429  1696.23        5.34  1133.19       302.86   6233.60         7       0    14.41       10.23    49.50        24.75     11.64        2        0        5       0
57953.476315 15.677143 0.007253  1946    13 o    0   568.90 299.61892 62.13773  5078.29  6566.54  3.63 2.87 -87.7 -0.426    19.18 20.91 01a57953o0463o 0xd00831 149.692308  1597.70        5.33   762.29       203.73   2699.87         7       0     0.00       15.00      NaN          NaN       NaN        1        0        6       0
57953.492897 15.712298 0.006916  1884    12 o    0   661.83 299.61892 62.13773  5067.78  6746.37  3.62 2.82  89.5 -0.428    19.22 20.97 01a57953o0497o 0xd00831 157.000000  1254.90        5.18   890.17       237.91   4104.72         7       0     1.00        9.90     5.66         2.83      0.16        2        0        5       0
57955.448400 19.841877      NaN     6    12 o    0     0.74 299.61892 62.13773  6218.50  3003.50  2.14 2.01  53.8 -0.463    19.54 20.77 02a57955o0420o 0x002030   0.500000   278.80        4.00   661.25       176.73   4291.59         7       0    -2.05        4.37    10.13         2.92      1.12        6        0        1       0
57957.446585 19.169763      NaN    30    16 o    0     8.85 299.61892 62.13773  2839.22  6032.52  3.30 2.70  89.5 -0.454    19.08 20.39 01a57957o0419o 0x400830   1.875000  1366.41        6.16  1313.06       350.93   6176.79         7       0   -13.09        9.78    26.27        10.73      2.26        3        0        4       0
57957.455846 19.367717 0.300665    65    18 o    0     3.31 299.61892 62.13773  2852.99  6105.63  3.40 2.75  88.6 -0.447    19.06 20.40 01a57957o0438o 0x400e30   3.611111    80.22        6.63    77.49        20.71     20.18         7       0   106.50       12.73    26.16        13.08      2.11        2        3        2       0
57957.474384 15.127666 0.005045  3228    15 o    0  1402.70 299.61892 62.13773  2799.03  6099.90  3.40 2.71  88.3 -0.448    19.09 20.49 01a57957o0476o 0x500931 215.200000  2113.22        5.81  1511.31       403.91   9108.79         7       0   -12.00       11.31    31.11        15.56      3.78        2        0        5       0
57957.476811 19.318728 0.255467    68    16 o    0     2.69 299.61892 62.13773  2774.95  6226.42  3.37 2.74  86.4 -0.450    19.09 20.47 01a57957o0481o 0x082030   4.250000    28.98        6.48    29.31         7.83      3.25         7       0    18.37        7.09    18.52         5.35      1.17        6        1        0       0
57959.449668 19.766969      NaN   -16    15 o    0     1.29 299.61892 62.13773  6040.07  5614.06  2.12 1.96 -37.4 -0.467    19.52 20.51 02a57959o0419o 0x000000  -1.066667     0.97        5.03    14.05         3.75      1.25         7       0     0.97        5.03    14.05         3.75      1.25        7        0        0       0
57959.459055 19.841877      NaN   -22    14 o    0     1.01 299.61892 62.13773  6013.29  5573.17  2.21 2.03 -37.1 -0.458    19.52 20.54 02a57959o0438o 0x000000  -1.571429    -6.24        5.02     7.89         2.11      0.37         7       0    -6.24        5.02     7.89         2.11      0.37        7        0        0       0
57959.483667 20.103715      NaN    -7    11 o    0     1.58 299.61892 62.13773  6073.99  5653.08  2.11 1.99 -31.5 -0.462    19.58 20.74 02a57959o0477o 0x000000  -0.636364     0.69        4.46    11.54         3.08      0.97         7       0     0.69        4.46    11.54         3.08      0.97        7        0        0       0
57959.485614 19.589310      NaN    14    13 o    0     0.64 299.61892 62.13773  6091.44  5535.68  2.07 1.94 -34.9 -0.463    19.61 20.70 02a57959o0481o 0x000030   1.076923   324.74        4.23   548.62       146.62   3374.83         7       0     4.28        4.79    13.00         3.75      1.19        6        0        1       0
57963.460823 19.743105      NaN     7    13 o    0     1.39 299.61892 62.13773  6429.13  5950.11  2.21 1.95 -39.8 -0.439    19.63 20.86 02a57963o0006o 0x400110   0.538462     4.63        4.71    28.92         7.73      4.95         7       0    -2.19        5.01    19.49         5.63      2.66        6        1        0       0
