          MJD       m       dm    uJy   duJy  F  err     chi/N         RA       Dec         x         y    maj   min   phi  apfit    Sky     ZP             Obs  Mask  o0_Nmasked  o1_mean  o1_mean_err  o1_stddev    o1_X2norm  o1_Nvalid  o1_Nnan  Noffsetlc  o2_mean  o2_mean_err  o2_stddev  o2_X2norm  o2_Nused  o2_Nskipped  o2_Nin
 57921.593843  17.644    0.225    318     72  o    0      5.07  299.61892  62.13773   4074.40   7487.46   3.34  3.09  51.2 -0.427  17.26  18.74  01a57921o0064o  1024           1    258.0       64.697    158.475       4.9906          7        0          7  273.249       30.640     71.770     1.0115         5            1       6
 57921.603282  19.449    0.282     60     17  o    0      9.61  299.61892  62.13773   4016.47   7444.82   3.36  3.15  52.8 -0.421  19.08  20.36  01a57921o0083o    32           2     41.0       19.286     47.241       6.4183          7        0          7   41.639        9.611     45.140     5.5376         3            2       5
 57921.612294  20.240    0.690     29     20  o    0      2.24  299.61892  62.13773   4010.04   7595.97   3.31  3.16  49.2 -0.421  18.58  19.87  01a57921o0101o     0           1     -3.0        8.707     21.327       1.0410          7        0          7   -7.829        8.308     22.371     1.1816         6            0       6
 57922.543830  16.087    1.251   1334   1668  o    0      1.28  299.61892  62.13773   5586.58   2677.31   2.44  2.09 -43.5 -0.450  14.48  14.87  02a57922o0621o     1           7   -502.0      658.038   1611.856       1.2210          7        0          7      NaN          NaN        NaN        NaN         0            0       0
 57925.526407  20.045    0.374     35     13  o    0      6.30  299.61892  62.13773   3830.48   7730.13   3.11  2.88  65.7 -0.440  19.38  20.96  01a57925o0580o     0           1     -3.0       10.627     26.030       3.2654          7        0          7    2.816        5.337     13.285     0.9218         6            0       6
 57925.529366  15.462    0.005   2373     13  o    0   1006.87  299.61892  62.13773   3857.95   7782.62   3.13  2.94  61.7 -0.437  19.38  20.96  01a57925o0586o     4           5   2591.0      642.710   1574.312   12989.4718          7        0          7  -16.390        9.370      0.907     0.0027         2            0       2
 57925.538724  15.393    0.004   2528     11  o    0   1596.71  299.61892  62.13773   3790.11   7740.43   3.15  2.94  64.3 -0.437  19.40  21.05  01a57925o0605o     4           4   2742.0      825.314   2021.598   23550.2766          7        0          7    1.370        7.297     14.683     1.0022         3            0       3
 57925.547588  19.597    0.251     53     13  o    0      2.85  299.61892  62.13773   3772.79   7892.00   3.16  2.96  56.6 -0.430  19.36  21.02  01a57925o0623o  1536           2     62.0       70.444    172.553     189.5838          7        0          7   22.943        6.680     30.162     3.9677         4            1       5
 57927.506603  21.307    1.034     11     11  o    0      2.05  299.61892  62.13773   3926.15   2726.09   2.24  2.05 -36.4 -0.441  19.77  20.99  02a57927o0515o     0           1      3.0       51.033    125.004     119.0936          7        0          7   -0.155        4.454     18.831     2.8433         6            0       6
 57927.523897  20.366    0.422     26     11  o    0      3.72  299.61892  62.13773   3910.16   2689.45   2.27  2.06 -35.4 -0.440  19.75  21.00  02a57927o0551o     0           3     19.0      350.057    857.460    5590.5600          7        0          7    0.071        7.684     20.221     1.7950         3            1       4
